 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> agosto 10, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z03_A08_Mylar.dat.txt

 Ion = Lithium [3] , Mass = 8,02 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,508E+01  5,995E+01      98 A        54 A        39 A   
   1,10 keV   1,581E+01  5,973E+01     107 A        58 A        42 A   
   1,20 keV   1,651E+01  5,944E+01     115 A        62 A        45 A   
   1,30 keV   1,719E+01  5,910E+01     124 A        67 A        48 A   
   1,40 keV   1,784E+01  5,873E+01     133 A        71 A        51 A   
   1,50 keV   1,846E+01  5,834E+01     142 A        75 A        53 A   
   1,60 keV   1,907E+01  5,792E+01     150 A        79 A        56 A   
   1,70 keV   1,966E+01  5,749E+01     159 A        83 A        59 A   
   1,80 keV   2,023E+01  5,705E+01     168 A        87 A        62 A   
   2,00 keV   2,132E+01  5,616E+01     186 A        94 A        67 A   
   2,25 keV   2,261E+01  5,504E+01     208 A       104 A        74 A   
   2,50 keV   2,384E+01  5,392E+01     231 A       114 A        81 A   
   2,75 keV   2,500E+01  5,283E+01     254 A       123 A        88 A   
   3,00 keV   2,611E+01  5,178E+01     277 A       132 A        95 A   
   3,25 keV   2,718E+01  5,076E+01     300 A       142 A       102 A   
   3,50 keV   2,820E+01  4,977E+01     323 A       151 A       108 A   
   3,75 keV   2,919E+01  4,882E+01     346 A       160 A       115 A   
   4,00 keV   3,015E+01  4,791E+01     370 A       169 A       122 A   
   4,50 keV   3,198E+01  4,619E+01     417 A       186 A       135 A   
