 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 06, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Helium (gas).txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  9.3100E-05 g/cm3 = 1.4006E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.065E-05  1.074E-03    1.47 um     5978 A      4052 A   
    1.2 eV    6.065E-05  1.130E-03    1.54 um     6244 A      4233 A   
    1.3 eV    6.313E-05  1.185E-03    1.60 um     6498 A      4408 A   
    1.4 eV    6.551E-05  1.237E-03    1.66 um     6742 A      4577 A   
    1.5 eV    6.781E-05  1.287E-03    1.72 um     6977 A      4741 A   
    1.6 eV    7.004E-05  1.336E-03    1.77 um     7203 A      4899 A   
    1.7 eV    7.219E-05  1.383E-03    1.82 um     7422 A      5053 A   
    1.8 eV    7.428E-05  1.429E-03    1.87 um     7633 A      5202 A   
      2 eV    7.830E-05  1.518E-03    1.97 um     8038 A      5489 A   
   2.25 eV    8.305E-05  1.622E-03    2.08 um     8514 A      5827 A   
2.49999 eV    8.754E-05  1.721E-03    2.19 um     8961 A      6145 A   
2.74999 eV    9.182E-05  1.814E-03    2.29 um     9385 A      6447 A   
2.99999 eV    9.590E-05  1.903E-03    2.39 um     9788 A      6735 A   
3.24999 eV    9.982E-05  1.988E-03    2.48 um     1.02 um     7009 A   
3.49999 eV    1.036E-04  2.070E-03    2.56 um     1.05 um     7273 A   
3.74999 eV    1.072E-04  2.149E-03    2.65 um     1.09 um     7526 A   
3.99999 eV    1.107E-04  2.225E-03    2.73 um     1.12 um     7770 A   
