 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> marzo 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z10_A20_Havar.dat.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  8,3000E+00 g/cm3 = 8,5978E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Co     27    044,21    044,82   
     Cr     24    021,05    018,83   
     Ni     28    013,68    013,81   
     Fe     26    020,00    019,22   
      W     74    001,05    003,32   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    3,592E+01  2,905E+02      16 A        16 A        13 A   
   1,10 keV   3,768E+01  2,993E+02      17 A        17 A        13 A   
   1,20 keV   3,935E+01  3,073E+02      18 A        18 A        14 A   
   1,30 keV   4,096E+01  3,147E+02      19 A        19 A        15 A   
   1,40 keV   4,250E+01  3,215E+02      20 A        20 A        15 A   
   1,50 keV   4,400E+01  3,278E+02      21 A        21 A        16 A   
   1,60 keV   4,544E+01  3,337E+02      22 A        21 A        17 A   
   1,70 keV   4,684E+01  3,392E+02      23 A        22 A        17 A   
   1,80 keV   4,820E+01  3,444E+02      24 A        23 A        18 A   
   2,00 keV   5,080E+01  3,537E+02      26 A        24 A        19 A   
   2,25 keV   5,388E+01  3,640E+02      28 A        26 A        20 A   
   2,50 keV   5,680E+01  3,730E+02      31 A        28 A        22 A   
   2,75 keV   5,957E+01  3,810E+02      33 A        30 A        23 A   
   3,00 keV   6,222E+01  3,881E+02      35 A        32 A        24 A   
   3,25 keV   6,476E+01  3,944E+02      37 A        33 A        26 A   
   3,50 keV   6,721E+01  4,001E+02      39 A        35 A        27 A   
   3,75 keV   6,957E+01  4,052E+02      41 A        37 A        28 A   
   4,00 keV   7,185E+01  4,099E+02      44 A        38 A        30 A   
