 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> marzo 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z10_A20_gas_He579mbar299.42K.dat.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  9,3105E-05 g/cm3 = 1,4006E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,333E-03  2,164E-02   55,89 um    14,34 um    11,50 um  
   1,10 keV   1,399E-03  2,199E-02   59,71 um    15,17 um    12,21 um  
   1,20 keV   1,461E-03  2,229E-02   63,47 um    15,98 um    12,90 um  
   1,30 keV   1,520E-03  2,256E-02   67,18 um    16,77 um    13,57 um  
   1,40 keV   1,578E-03  2,279E-02   70,85 um    17,55 um    14,24 um  
   1,50 keV   1,633E-03  2,299E-02   74,48 um    18,31 um    14,89 um  
   1,60 keV   1,687E-03  2,317E-02   78,08 um    19,07 um    15,53 um  
   1,70 keV   1,739E-03  2,332E-02   81,66 um    19,81 um    16,16 um  
   1,80 keV   1,789E-03  2,346E-02   85,21 um    20,54 um    16,79 um  
   2,00 keV   1,886E-03  2,369E-02   92,25 um    21,99 um    18,02 um  
   2,25 keV   2,000E-03  2,390E-02  100,96 um    23,77 um    19,53 um  
   2,50 keV   2,108E-03  2,406E-02  109,59 um    25,52 um    21,00 um  
   2,75 keV   2,211E-03  2,416E-02  118,17 um    27,23 um    22,44 um  
   3,00 keV   2,310E-03  2,422E-02  126,70 um    28,92 um    23,87 um  
   3,25 keV   2,404E-03  2,425E-02  135,19 um    30,59 um    25,28 um  
   3,50 keV   2,495E-03  2,426E-02  143,67 um    32,24 um    26,67 um  
   3,75 keV   2,582E-03  2,425E-02  152,13 um    33,87 um    28,04 um  
   4,00 keV   2,667E-03  2,422E-02  160,58 um    35,49 um    29,40 um  
   4,50 keV   2,829E-03  2,412E-02  177,48 um    38,73 um    32,10 um  
   5,00 keV   2,982E-03  2,398E-02  194,39 um    41,92 um    34,77 um  
   5,50 keV   3,127E-03  2,382E-02  211,34 um    45,07 um    37,40 um  
   6,00 keV   3,266E-03  2,363E-02  228,34 um    48,20 um    40,02 um  
   6,50 keV   3,400E-03  2,343E-02  245,41 um    51,30 um    42,62 um  
   7,00 keV   3,528E-03  2,322E-02  262,55 um    54,38 um    45,20 um  
   8,00 keV   3,772E-03  2,279E-02  297,08 um    60,57 um    50,35 um  
   9,00 keV   4,000E-03  2,235E-02  331,96 um    66,69 um    55,47 um  
  10,00 keV   4,217E-03  2,191E-02  367,20 um    72,75 um    60,58 um  
  11,00 keV   4,423E-03  2,148E-02  402,82 um    78,76 um    65,67 um  
  12,00 keV   4,619E-03  2,106E-02  438,82 um    84,73 um    70,77 um  
  13,00 keV   4,808E-03  2,066E-02  475,18 um    90,67 um    75,87 um  
  14,00 keV   4,989E-03  2,026E-02  511,91 um    96,57 um    80,98 um  
  15,00 keV   5,164E-03  1,988E-02  548,99 um   102,44 um    86,09 um  
  16,00 keV   5,334E-03  1,952E-02  586,41 um   108,27 um    91,21 um  
  17,00 keV   5,498E-03  1,917E-02  624,17 um   114,08 um    96,35 um  
  18,00 keV   5,657E-03  1,883E-02  662,26 um   119,86 um   101,49 um  
  20,00 keV   5,963E-03  1,819E-02  739,37 um   131,51 um   111,82 um  
  22,50 keV   6,325E-03  1,746E-02  837,40 um   146,00 um   124,80 um  
  25,00 keV   6,667E-03  1,679E-02  937,08 um   160,25 um   137,84 um  
  27,50 keV   6,993E-03  1,618E-02    1,04 mm   174,30 um   150,93 um  
  30,00 keV   7,304E-03  1,561E-02    1,14 mm   188,13 um   164,06 um  
  32,50 keV   7,602E-03  1,510E-02    1,24 mm   201,76 um   177,22 um  
  35,00 keV   7,889E-03  1,462E-02    1,35 mm   215,19 um   190,40 um  
  37,50 keV   8,166E-03  1,417E-02    1,46 mm   228,42 um   203,58 um  
  40,00 keV   8,436E-03  1,376E-02    1,56 mm   241,46 um   216,76 um  
  45,00 keV   9,589E-03  1,301E-02    1,77 mm   267,13 um   242,85 um  
  50,00 keV   1,063E-02  1,235E-02    1,98 mm   290,97 um   268,28 um  
  55,00 keV   1,154E-02  1,177E-02    2,19 mm   313,27 um   292,97 um  
  60,00 keV   1,231E-02  1,124E-02    2,39 mm   334,30 um   316,94 um  
  65,00 keV   1,295E-02  1,077E-02    2,60 mm   354,28 um   340,25 um  
  70,00 keV   1,349E-02  1,035E-02    2,80 mm   373,40 um   362,97 um  
  80,00 keV   1,428E-02  9,602E-03    3,20 mm   411,45 um   407,01 um  
  90,00 keV   1,481E-02  8,971E-03    3,61 mm   447,20 um   449,51 um  
 100,00 keV   1,519E-02  8,430E-03    4,02 mm   481,26 um   490,82 um  
 110,00 keV   1,548E-02  7,959E-03    4,43 mm   513,99 um   531,21 um  
 120,00 keV   1,572E-02  7,545E-03    4,84 mm   545,60 um   570,81 um  
 130,00 keV   1,595E-02  7,178E-03    5,26 mm   576,20 um   609,73 um  
 140,00 keV   1,619E-02  6,850E-03    5,68 mm   605,87 um   647,99 um  
 150,00 keV   1,643E-02  6,555E-03    6,11 mm   634,62 um   685,62 um  
 160,00 keV   1,669E-02  6,287E-03    6,53 mm   662,47 um   722,60 um  
 170,00 keV   1,698E-02  6,043E-03    6,96 mm   689,43 um   758,91 um  
 180,00 keV   1,729E-02  5,820E-03    7,38 mm   715,49 um   794,54 um  
 200,00 keV   1,798E-02  5,426E-03    8,22 mm   769,26 um   863,62 um  
 225,00 keV   1,896E-02  5,011E-03    9,25 mm   833,06 um   945,66 um  
 250,00 keV   2,005E-02  4,661E-03   10,26 mm   890,35 um     1,02 mm  
 275,00 keV   2,124E-02  4,363E-03   11,24 mm   941,72 um     1,09 mm  
 300,00 keV   2,249E-02  4,105E-03   12,18 mm   987,80 um     1,16 mm  
 325,00 keV   2,379E-02  3,879E-03   13,09 mm     1,03 mm     1,22 mm  
 350,00 keV   2,511E-02  3,679E-03   13,96 mm     1,07 mm     1,28 mm  
 375,00 keV   2,646E-02  3,501E-03   14,80 mm     1,10 mm     1,34 mm  
 400,00 keV   2,780E-02  3,341E-03   15,61 mm     1,13 mm     1,38 mm  
 450,00 keV   3,045E-02  3,066E-03   17,13 mm     1,19 mm     1,47 mm  
 500,00 keV   3,304E-02  2,837E-03   18,56 mm     1,24 mm     1,55 mm  
 550,00 keV   3,556E-02  2,643E-03   19,89 mm     1,29 mm     1,62 mm  
 600,00 keV   3,803E-02  2,476E-03   21,15 mm     1,33 mm     1,68 mm  
 650,00 keV   4,046E-02  2,331E-03   22,34 mm     1,36 mm     1,74 mm  
 700,00 keV   4,287E-02  2,204E-03   23,47 mm     1,39 mm     1,79 mm  
 800,00 keV   4,765E-02  1,990E-03   25,57 mm     1,45 mm     1,87 mm  
 900,00 keV   5,239E-02  1,817E-03   27,48 mm     1,50 mm     1,94 mm  
   1,00 MeV   5,706E-02  1,675E-03   29,24 mm     1,54 mm     2,00 mm  
   1,10 MeV   6,163E-02  1,555E-03   30,88 mm     1,58 mm     2,05 mm  
   1,20 MeV   6,605E-02  1,452E-03   32,40 mm     1,61 mm     2,09 mm  
   1,30 MeV   7,031E-02  1,363E-03   33,83 mm     1,63 mm     2,13 mm  
   1,40 MeV   7,439E-02  1,285E-03   35,18 mm     1,65 mm     2,16 mm  
   1,50 MeV   7,829E-02  1,217E-03   36,47 mm     1,67 mm     2,19 mm  
   1,60 MeV   8,201E-02  1,156E-03   37,69 mm     1,69 mm     2,21 mm  
